Reference,Value,Footprint,Datasheet,Mfg,P/N,Qty,Quoted Part Number,Order Quantity,Order Price,Min\Mult Order Qty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C1, C3, C9, C11",1uF,Capacitor_SMD:C_0805_2012Metric,https://www.mouser.com/ProductDetail/80-C0805C105K5P,C0805C105K5PACTU,"10,652",4,80-C0805C105K5P,4,$0.32,1\1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C2, C5, C7",2.2uF,Capacitor_SMD:C_0805_2012Metric,https://www.mouser.com/ProductDetail/KEMET/C0805C225K5RACAUTO?qs=HBWAp0VN4RhaI2JFGdfu4w%3D%3D,UMK212ABJ225KG-T,"45,606",3,963-UMK212ABJ225KG-T,3,$0.23,1\1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,470nF,Capacitor_SMD:C_0805_2012Metric,https://www.mouser.com/ProductDetail/KEMET/C0805C474K3RAC?qs=1r5zKhvYIsjK11w1M%252BoEzg%3D%3D,C0805C474K3RAC,"12,651",1,80-C0805C474K3RAC,1,$0.22,1\1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6,47pF,Capacitor_SMD:C_0805_2012Metric,https://www.mouser.com/ProductDetail/KEMET/C0805C470JAGACAUTO?qs=f0OuG6fVDNYyqynuVfVSSA%3D%3D,80-C0805C470JAGAUTO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C10, C12, C13",100nF,Capacitor_SMD:C_0805_2012Metric,https://www.mouser.com/ProductDetail/KEMET/C0805C104M5RACTU?qs=VOOUd%252Bza08qHu13WgNByHQ%3D%3D,C0805C104M5RACTU,"2,043,670",3,80-C0805C104M5R,3,$0.10,1\1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,3.3V±0.05,Diode_SMD:D_0805_2012Metric,https://www.mouser.com/ProductDetail/Taiwan-Semiconductor/BZY55B3V3-RBG?qs=mAH9sUMRCtvrJdI%2FtfeTug%3D%3D,821-BZY55B3V3RBG,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,PowerOn,LED_SMD:LED_0805_2012Metric,https://www.mouser.com/ProductDetail/Kingbright/APTD2012LCGCK?qs=AQlKX63v8RvNHN%2F9EGvNTg%3D%3D,604-APTD2012LCGCK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FB1, FB2",FerriteBead_Small,Inductor_SMD:L_0805_2012Metric,https://www.mouser.com/ProductDetail/Murata-Electronics/BLM21BD182SN1D?qs=1w%252B2sDiFrrHE8EOZOaQSCA%3D%3D,BLM21BD182SN1D,"54,180",2,81-BLM21BD182SN1D,2,$0.17,1\1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1,Conn_02x10_Odd_Even,UTSVT_Connectors:Molex_53307-2071,https://www.mouser.com/ProductDetail/Molex/53307-2071?qs=88IJkhYWEX1NdBDaDFqnDg%3D%3D,538-53307-2071,"2,191",1,538-53307-2071,1,$2.48,1\1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2,ShuntConn,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical,~,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
